id,source,airline,origin,destination,travel_date,search_datetime,fare_price,created_at,route,search_date
1,SkyFareHub,IndiGo,DEL,BOM,2026-08-18,2026-08-11 14:15:00,5328.94,2026-09-09 12:37:29,DEL-BOM,2026-08-11
2,TripEase,IndiGo,DEL,BOM,2026-08-18,2026-08-11 08:37:00,5379.86,2026-09-09 12:37:29,DEL-BOM,2026-08-11
3,SkyFareHub,Air India,DEL,BOM,2026-08-18,2026-08-11 12:14:00,5655.02,2026-09-09 12:37:29,DEL-BOM,2026-08-11
4,TripEase,Air India,DEL,BOM,2026-08-18,2026-08-11 12:45:00,5692.97,2026-09-09 12:37:29,DEL-BOM,2026-08-11
5,SkyFareHub,SpiceJet,DEL,BOM,2026-08-18,2026-08-11 13:28:00,5227.52,2026-09-09 12:37:29,DEL-BOM,2026-08-11
6,TripEase,SpiceJet,DEL,BOM,2026-08-18,2026-08-11 06:48:00,5284.29,2026-09-09 12:37:29,DEL-BOM,2026-08-11
7,SkyFareHub,Vistara,DEL,BOM,2026-08-18,2026-08-11 16:17:00,6463.17,2026-09-09 12:37:29,DEL-BOM,2026-08-11
8,TripEase,Vistara,DEL,BOM,2026-08-18,2026-08-11 16:06:00,6235.65,2026-09-09 12:37:29,DEL-BOM,2026-08-11
9,SkyFareHub,Akasa Air,DEL,BOM,2026-08-18,2026-08-11 17:38:00,4961.64,2026-09-09 12:37:29,DEL-BOM,2026-08-11
10,TripEase,Akasa Air,DEL,BOM,2026-08-18,2026-08-11 20:34:00,5017.12,2026-09-09 12:37:29,DEL-BOM,2026-08-11
11,SkyFareHub,IndiGo,DEL,BOM,2026-08-25,2026-08-11 08:35:00,5321.0,2026-09-09 12:37:29,DEL-BOM,2026-08-11
12,TripEase,IndiGo,DEL,BOM,2026-08-25,2026-08-11 17:36:00,5298.81,2026-09-09 12:37:29,DEL-BOM,2026-08-11
13,SkyFareHub,Air India,DEL,BOM,2026-08-25,2026-08-11 13:49:00,5482.43,2026-09-09 12:37:29,DEL-BOM,2026-08-11
14,TripEase,Air India,DEL,BOM,2026-08-25,2026-08-11 13:55:00,5530.83,2026-09-09 12:37:29,DEL-BOM,2026-08-11
15,SkyFareHub,SpiceJet,DEL,BOM,2026-08-25,2026-08-11 17:10:00,4848.93,2026-09-09 12:37:29,DEL-BOM,2026-08-11
16,TripEase,SpiceJet,DEL,BOM,2026-08-25,2026-08-11 14:44:00,4937.44,2026-09-09 12:37:29,DEL-BOM,2026-08-11
17,SkyFareHub,Vistara,DEL,BOM,2026-08-25,2026-08-11 11:34:00,6417.27,2026-09-09 12:37:29,DEL-BOM,2026-08-11
18,TripEase,Vistara,DEL,BOM,2026-08-25,2026-08-11 18:17:00,6136.43,2026-09-09 12:37:29,DEL-BOM,2026-08-11
19,SkyFareHub,Akasa Air,DEL,BOM,2026-08-25,2026-08-11 13:43:00,5432.26,2026-09-09 12:37:29,DEL-BOM,2026-08-11
20,TripEase,Akasa Air,DEL,BOM,2026-08-25,2026-08-11 07:14:00,5196.21,2026-09-09 12:37:29,DEL-BOM,2026-08-11
21,SkyFareHub,IndiGo,DEL,BOM,2026-09-10,2026-08-11 18:17:00,5397.72,2026-09-09 12:37:29,DEL-BOM,2026-08-11
22,TripEase,IndiGo,DEL,BOM,2026-09-10,2026-08-11 16:13:00,5118.73,2026-09-09 12:37:29,DEL-BOM,2026-08-11
23,SkyFareHub,Air India,DEL,BOM,2026-09-10,2026-08-11 20:09:00,5618.07,2026-09-09 12:37:29,DEL-BOM,2026-08-11
24,TripEase,Air India,DEL,BOM,2026-09-10,2026-08-11 14:47:00,5393.69,2026-09-09 12:37:29,DEL-BOM,2026-08-11
25,SkyFareHub,SpiceJet,DEL,BOM,2026-09-10,2026-08-11 18:23:00,5061.97,2026-09-09 12:37:29,DEL-BOM,2026-08-11
26,TripEase,SpiceJet,DEL,BOM,2026-09-10,2026-08-11 22:31:00,4947.83,2026-09-09 12:37:29,DEL-BOM,2026-08-11
27,SkyFareHub,Vistara,DEL,BOM,2026-09-10,2026-08-11 09:09:00,5589.36,2026-09-09 12:37:29,DEL-BOM,2026-08-11
28,TripEase,Vistara,DEL,BOM,2026-09-10,2026-08-11 19:38:00,6110.31,2026-09-09 12:37:29,DEL-BOM,2026-08-11
29,SkyFareHub,Akasa Air,DEL,BOM,2026-09-10,2026-08-11 20:33:00,4804.17,2026-09-09 12:37:29,DEL-BOM,2026-08-11
30,TripEase,Akasa Air,DEL,BOM,2026-09-10,2026-08-11 06:43:00,4931.18,2026-09-09 12:37:29,DEL-BOM,2026-08-11
31,SkyFareHub,IndiGo,DEL,BLR,2026-08-18,2026-08-11 14:49:00,6084.96,2026-09-09 12:37:29,DEL-BLR,2026-08-11
32,TripEase,IndiGo,DEL,BLR,2026-08-18,2026-08-11 19:10:00,5844.83,2026-09-09 12:37:29,DEL-BLR,2026-08-11
33,SkyFareHub,Air India,DEL,BLR,2026-08-18,2026-08-11 14:32:00,6539.6,2026-09-09 12:37:29,DEL-BLR,2026-08-11
34,TripEase,Air India,DEL,BLR,2026-08-18,2026-08-11 09:55:00,6526.12,2026-09-09 12:37:29,DEL-BLR,2026-08-11
35,SkyFareHub,SpiceJet,DEL,BLR,2026-08-18,2026-08-11 22:38:00,5791.75,2026-09-09 12:37:29,DEL-BLR,2026-08-11
36,TripEase,SpiceJet,DEL,BLR,2026-08-18,2026-08-11 11:34:00,5442.31,2026-09-09 12:37:29,DEL-BLR,2026-08-11
37,SkyFareHub,Vistara,DEL,BLR,2026-08-18,2026-08-11 06:38:00,7222.67,2026-09-09 12:37:29,DEL-BLR,2026-08-11
38,TripEase,Vistara,DEL,BLR,2026-08-18,2026-08-11 17:56:00,6511.54,2026-09-09 12:37:29,DEL-BLR,2026-08-11
39,SkyFareHub,Akasa Air,DEL,BLR,2026-08-18,2026-08-11 13:03:00,6066.95,2026-09-09 12:37:29,DEL-BLR,2026-08-11
40,TripEase,Akasa Air,DEL,BLR,2026-08-18,2026-08-11 08:05:00,5642.75,2026-09-09 12:37:29,DEL-BLR,2026-08-11
41,SkyFareHub,IndiGo,DEL,BLR,2026-08-25,2026-08-11 10:08:00,6050.78,2026-09-09 12:37:29,DEL-BLR,2026-08-11
42,TripEase,IndiGo,DEL,BLR,2026-08-25,2026-08-11 11:16:00,6062.89,2026-09-09 12:37:29,DEL-BLR,2026-08-11
43,SkyFareHub,Air India,DEL,BLR,2026-08-25,2026-08-11 12:59:00,6352.79,2026-09-09 12:37:29,DEL-BLR,2026-08-11
44,TripEase,Air India,DEL,BLR,2026-08-25,2026-08-11 12:45:00,6405.25,2026-09-09 12:37:29,DEL-BLR,2026-08-11
45,SkyFareHub,SpiceJet,DEL,BLR,2026-08-25,2026-08-11 17:28:00,5621.55,2026-09-09 12:37:29,DEL-BLR,2026-08-11
46,TripEase,SpiceJet,DEL,BLR,2026-08-25,2026-08-11 13:14:00,5701.39,2026-09-09 12:37:29,DEL-BLR,2026-08-11
47,SkyFareHub,Vistara,DEL,BLR,2026-08-25,2026-08-11 13:37:00,6280.14,2026-09-09 12:37:29,DEL-BLR,2026-08-11
48,TripEase,Vistara,DEL,BLR,2026-08-25,2026-08-11 07:14:00,6384.05,2026-09-09 12:37:29,DEL-BLR,2026-08-11
49,SkyFareHub,Akasa Air,DEL,BLR,2026-08-25,2026-08-11 16:04:00,5302.21,2026-09-09 12:37:29,DEL-BLR,2026-08-11
50,TripEase,Akasa Air,DEL,BLR,2026-08-25,2026-08-11 21:13:00,5588.26,2026-09-09 12:37:29,DEL-BLR,2026-08-11
51,SkyFareHub,IndiGo,DEL,BLR,2026-09-10,2026-08-11 21:15:00,5733.28,2026-09-09 12:37:29,DEL-BLR,2026-08-11
52,TripEase,IndiGo,DEL,BLR,2026-09-10,2026-08-11 12:06:00,5872.48,2026-09-09 12:37:29,DEL-BLR,2026-08-11
53,SkyFareHub,Air India,DEL,BLR,2026-09-10,2026-08-11 19:26:00,5869.59,2026-09-09 12:37:29,DEL-BLR,2026-08-11
54,TripEase,Air India,DEL,BLR,2026-09-10,2026-08-11 09:03:00,6158.85,2026-09-09 12:37:29,DEL-BLR,2026-08-11
55,SkyFareHub,SpiceJet,DEL,BLR,2026-09-10,2026-08-11 09:15:00,5264.6,2026-09-09 12:37:29,DEL-BLR,2026-08-11
56,TripEase,SpiceJet,DEL,BLR,2026-09-10,2026-08-11 10:27:00,5237.47,2026-09-09 12:37:29,DEL-BLR,2026-08-11
57,SkyFareHub,Vistara,DEL,BLR,2026-09-10,2026-08-11 08:28:00,6307.22,2026-09-09 12:37:29,DEL-BLR,2026-08-11
58,TripEase,Vistara,DEL,BLR,2026-09-10,2026-08-11 09:03:00,6784.35,2026-09-09 12:37:29,DEL-BLR,2026-08-11
59,SkyFareHub,Akasa Air,DEL,BLR,2026-09-10,2026-08-11 06:05:00,5550.71,2026-09-09 12:37:29,DEL-BLR,2026-08-11
60,TripEase,Akasa Air,DEL,BLR,2026-09-10,2026-08-11 11:26:00,5771.86,2026-09-09 12:37:29,DEL-BLR,2026-08-11
61,SkyFareHub,IndiGo,BOM,BLR,2026-08-18,2026-08-11 18:57:00,4355.7,2026-09-09 12:37:29,BOM-BLR,2026-08-11
62,TripEase,IndiGo,BOM,BLR,2026-08-18,2026-08-11 18:16:00,4248.11,2026-09-09 12:37:29,BOM-BLR,2026-08-11
63,SkyFareHub,Air India,BOM,BLR,2026-08-18,2026-08-11 15:27:00,5037.45,2026-09-09 12:37:29,BOM-BLR,2026-08-11
64,TripEase,Air India,BOM,BLR,2026-08-18,2026-08-11 21:09:00,4933.6,2026-09-09 12:37:29,BOM-BLR,2026-08-11
65,SkyFareHub,SpiceJet,BOM,BLR,2026-08-18,2026-08-11 07:37:00,4039.18,2026-09-09 12:37:29,BOM-BLR,2026-08-11
